                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5576,                 1.7662,                 1.5659,                0.56251,                0.31189,                0.39387,                0.26976,                 1.1965,                 1.6947,                 1.2927,              0.0033324,              0.0033324,              0.0033324
                      2,                 1.0851,                 0.8546,                 1.1826,                0.81549,                0.47926,                0.51854,                0.35986,                  1.166,                 1.0489,                 1.2763,              0.0066437,              0.0066437,              0.0066437
                      3,                 1.0661,                 0.7535,                 1.1704,                0.81207,                0.51915,                0.56405,                0.38902,                 1.1664,                0.94923,                 1.2901,               0.009933,               0.009933,               0.009933
                      4,                 1.0477,                0.70225,                 1.1592,                0.62187,                0.58776,                0.60514,                0.41891,                 1.1558,                0.68694,                 1.2861,               0.009901,               0.009901,               0.009901
                      5,                 1.0288,                0.66029,                 1.1478,                0.66285,                0.63425,                0.64461,                0.44658,                 1.1476,                0.64172,                 1.2815,               0.009901,               0.009901,               0.009901
                      6,                 1.0175,                0.63679,                 1.1415,                0.67913,                0.66316,                0.66728,                0.46702,                 1.1406,                0.62339,                  1.274,               0.009868,               0.009868,               0.009868
                      7,                 1.0098,                0.62167,                 1.1363,                0.71855,                0.67728,                0.68205,                0.47889,                 1.1384,                0.60432,                 1.2727,               0.009835,               0.009835,               0.009835
                      8,                  1.003,                0.61069,                 1.1325,                0.73497,                0.68878,                0.68782,                0.48298,                  1.137,                0.60522,                 1.2711,               0.009802,               0.009802,               0.009802
                      9,                0.99869,                0.60428,                 1.1298,                0.74625,                0.69264,                0.69344,                0.48704,                 1.1352,                0.60066,                 1.2697,               0.009769,               0.009769,               0.009769
                     10,                 0.9952,                0.59848,                 1.1278,                0.75681,                0.68837,                0.70055,                0.49313,                 1.1335,                0.59985,                 1.2685,               0.009736,               0.009736,               0.009736
                     11,                0.99194,                0.58882,                 1.1257,                0.76325,                0.68609,                0.70387,                0.49651,                 1.1327,                0.59809,                 1.2679,               0.009703,               0.009703,               0.009703
                     12,                0.98914,                0.58515,                 1.1244,                0.76577,                0.68902,                0.70802,                0.49982,                 1.1313,                0.59735,                 1.2668,                0.00967,                0.00967,                0.00967
                     13,                 0.9874,                0.58238,                 1.1233,                0.77549,                0.68541,                0.70982,                0.50135,                 1.1301,                0.59436,                 1.2658,               0.009637,               0.009637,               0.009637
                     14,                0.98367,                0.57758,                 1.1212,                0.78613,                0.68488,                 0.7111,                 0.5022,                 1.1295,                0.59158,                 1.2656,               0.009604,               0.009604,               0.009604
                     15,                 0.9805,                0.57772,                 1.1197,                0.79056,                0.68975,                0.71315,                0.50344,                 1.1291,                0.58957,                 1.2656,               0.009571,               0.009571,               0.009571
                     16,                0.97846,                0.57158,                 1.1182,                0.79738,                0.69332,                0.71638,                0.50643,                 1.1289,                0.58801,                 1.2656,               0.009538,               0.009538,               0.009538
                     17,                0.97726,                0.57006,                 1.1174,                0.79946,                0.69622,                0.72006,                0.50943,                 1.1286,                0.58649,                 1.2657,               0.009505,               0.009505,               0.009505
                     18,                0.97624,                 0.5673,                  1.117,                0.79909,                0.69996,                0.72304,                0.51183,                 1.1285,                0.58505,                 1.2662,               0.009472,               0.009472,               0.009472
                     19,                0.97526,                0.56145,                 1.1165,                0.80514,                0.70729,                0.72953,                0.51652,                 1.1276,                0.58195,                 1.2656,               0.009439,               0.009439,               0.009439
                     20,                0.97312,                0.56132,                 1.1152,                0.81156,                0.71261,                0.73577,                0.52165,                 1.1275,                0.58069,                  1.266,               0.009406,               0.009406,               0.009406
                     21,                0.97161,                0.56038,                 1.1144,                0.80523,                0.72635,                0.74193,                0.52591,                 1.1276,                0.57793,                 1.2666,               0.009373,               0.009373,               0.009373
                     22,                0.97025,                0.55723,                 1.1136,                0.81631,                0.73199,                0.74862,                0.53164,                 1.1275,                0.57573,                 1.2669,                0.00934,                0.00934,                0.00934
                     23,                0.96821,                0.55365,                 1.1129,                0.81884,                0.73655,                0.75478,                0.53676,                 1.1267,                0.57441,                 1.2664,               0.009307,               0.009307,               0.009307
                     24,                0.96718,                0.55147,                 1.1122,                0.83293,                0.72702,                0.75936,                0.53975,                 1.1262,                0.57216,                 1.2667,               0.009274,               0.009274,               0.009274
                     25,                0.96537,                0.55118,                 1.1112,                0.84429,                0.73451,                0.76593,                0.54381,                 1.1259,                0.57052,                 1.2667,               0.009241,               0.009241,               0.009241
                     26,                0.96519,                0.55128,                 1.1108,                0.85114,                0.73025,                0.76779,                0.54507,                 1.1255,                0.57109,                 1.2663,               0.009208,               0.009208,               0.009208
                     27,                0.96364,                0.54887,                 1.1104,                0.84042,                0.74138,                0.76958,                0.54689,                 1.1248,                0.57084,                 1.2656,               0.009175,               0.009175,               0.009175
                     28,                0.96188,                0.54725,                 1.1094,                0.84469,                0.74841,                 0.7719,                0.54846,                 1.1239,                0.56925,                  1.265,               0.009142,               0.009142,               0.009142
                     29,                0.96088,                0.54435,                 1.1088,                0.85871,                0.73817,                0.77495,                0.55101,                 1.1228,                0.56715,                  1.264,               0.009109,               0.009109,               0.009109
