                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5347,                 1.7442,                  1.542,                0.73424,                0.38273,                0.39346,                0.25894,                 1.2376,                 1.4894,                 1.3074,              0.0033325,              0.0033325,              0.0033325
                      2,                 1.0819,                 0.8472,                 1.1799,                0.58858,                 0.5014,                0.54879,                0.37183,                 1.1783,                0.97152,                 1.2933,              0.0066438,              0.0066438,              0.0066438
                      3,                 1.0601,                0.75248,                 1.1657,                0.83385,                0.52385,                0.58377,                0.39866,                 1.1675,                0.81727,                 1.2868,              0.0099332,              0.0099332,              0.0099332
                      4,                 1.0444,                0.70413,                 1.1566,                 0.6197,                0.62276,                0.64134,                0.44054,                 1.1665,                0.66261,                 1.2937,               0.009901,               0.009901,               0.009901
                      5,                 1.0255,                0.65858,                 1.1457,                0.68534,                0.66101,                 0.6804,                0.46688,                 1.1544,                0.61808,                 1.2849,               0.009901,               0.009901,               0.009901
                      6,                 1.0142,                0.63712,                 1.1386,                0.70268,                0.69579,                0.70433,                0.48347,                 1.1546,                0.59828,                 1.2875,               0.009868,               0.009868,               0.009868
                      7,                 1.0086,                0.62349,                 1.1354,                0.73981,                0.70033,                0.72646,                0.50025,                 1.1511,                0.59013,                 1.2867,               0.009835,               0.009835,               0.009835
                      8,                 1.0015,                0.61337,                 1.1309,                0.74026,                0.71372,                0.73776,                0.50799,                 1.1497,                0.58522,                 1.2859,               0.009802,               0.009802,               0.009802
                      9,                0.99724,                0.60742,                 1.1283,                 0.7496,                0.70418,                0.74337,                 0.5128,                 1.1481,                0.58618,                  1.285,               0.009769,               0.009769,               0.009769
                     10,                0.99262,                0.60312,                 1.1255,                0.75913,                0.70561,                0.74565,                0.51556,                 1.1471,                0.58763,                 1.2842,               0.009736,               0.009736,               0.009736
                     11,                0.98954,                0.59653,                 1.1238,                0.76963,                0.70547,                 0.7467,                0.51693,                 1.1464,                0.59092,                 1.2844,               0.009703,               0.009703,               0.009703
                     12,                0.98679,                0.59041,                 1.1223,                 0.7749,                0.71275,                0.74937,                0.51884,                 1.1454,                0.59308,                 1.2836,                0.00967,                0.00967,                0.00967
                     13,                0.98483,                0.58826,                  1.121,                0.77508,                0.70445,                0.74853,                0.51807,                 1.1449,                0.59521,                 1.2836,               0.009637,               0.009637,               0.009637
                     14,                0.98085,                0.58561,                 1.1186,                0.77545,                0.70512,                0.75069,                0.52095,                 1.1439,                0.59579,                 1.2834,               0.009604,               0.009604,               0.009604
                     15,                0.98063,                0.58127,                 1.1186,                0.78916,                0.71138,                0.75529,                0.52404,                  1.143,                0.59496,                 1.2833,               0.009571,               0.009571,               0.009571
                     16,                0.97873,                0.57877,                 1.1174,                0.78386,                0.72168,                0.76448,                0.53025,                 1.1421,                  0.593,                 1.2833,               0.009538,               0.009538,               0.009538
                     17,                0.97666,                0.57459,                 1.1164,                0.79651,                 0.7339,                0.77076,                0.53342,                 1.1415,                0.59267,                 1.2834,               0.009505,               0.009505,               0.009505
                     18,                 0.9748,                0.57144,                 1.1155,                0.80413,                0.73546,                 0.7756,                0.53687,                 1.1402,                0.59229,                 1.2825,               0.009472,               0.009472,               0.009472
                     19,                0.97342,                0.56909,                 1.1147,                0.80402,                0.74124,                0.78214,                0.54246,                 1.1394,                0.59043,                  1.282,               0.009439,               0.009439,               0.009439
                     20,                0.97152,                0.56971,                 1.1135,                0.80813,                0.74791,                0.78839,                0.54657,                 1.1384,                 0.5881,                 1.2809,               0.009406,               0.009406,               0.009406
                     21,                0.97202,                0.56487,                 1.1137,                0.81194,                0.76258,                0.79232,                0.55094,                 1.1378,                0.58635,                 1.2807,               0.009373,               0.009373,               0.009373
                     22,                0.96925,                0.56515,                 1.1122,                0.82178,                 0.7677,                0.79838,                0.55499,                 1.1365,                0.58512,                 1.2793,                0.00934,                0.00934,                0.00934
                     23,                0.96943,                0.56338,                 1.1123,                0.81659,                 0.7728,                0.80503,                0.56003,                 1.1353,                0.58223,                 1.2784,               0.009307,               0.009307,               0.009307
