                  epoch,         train/loc_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),      metrics/mAP100(B),   metrics/mAP100-10(B),           val/loc_loss,           val/cls_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1814,                 1.8686,                0.81194,                0.27718,                 0.3735,                0.33883,                 2.9396,                 1.2503,              0.0033323,              0.0033323,              0.0033323
                      2,                 2.9725,                0.88611,                0.72156,                0.47883,                0.54737,                0.50354,                 2.7736,                 1.3529,              0.0066437,              0.0066437,              0.0066437
                      3,                 2.9079,                0.78725,                0.80935,                0.59155,                0.65368,                0.60253,                 2.7239,                0.89209,               0.009933,               0.009933,               0.009933
                      4,                 2.8616,                0.74216,                0.86669,                0.63254,                0.71882,                 0.6654,                  2.625,                 0.7184,               0.009901,               0.009901,               0.009901
                      5,                 2.8058,                0.69836,                0.73634,                0.69003,                0.75108,                0.69332,                 2.5953,                0.68191,               0.009901,               0.009901,               0.009901
                      6,                 2.7748,                0.67457,                0.69554,                0.76923,                0.78145,                0.72073,                 2.5859,                0.66089,               0.009868,               0.009868,               0.009868
                      7,                 2.7573,                0.65592,                0.74177,                0.76857,                0.80187,                0.73818,                 2.5736,                0.65888,               0.009835,               0.009835,               0.009835
                      8,                 2.7371,                0.64466,                0.74053,                0.77734,                0.81476,                0.74969,                  2.564,                0.64299,               0.009802,               0.009802,               0.009802
                      9,                 2.7277,                0.63622,                 0.7496,                 0.7965,                0.82523,                0.75828,                 2.5593,                0.63429,               0.009769,               0.009769,               0.009769
                     10,                 2.7157,                0.63019,                0.76408,                0.80094,                0.83293,                0.76571,                 2.5536,                 0.6288,               0.009736,               0.009736,               0.009736
                     11,                 2.7086,                0.62437,                0.76671,                0.80802,                 0.8373,                0.77022,                 2.5492,                0.62602,               0.009703,               0.009703,               0.009703
                     12,                 2.6972,                0.61993,                0.78421,                0.80528,                0.83834,                0.77123,                 2.5468,                0.62658,                0.00967,                0.00967,                0.00967
                     13,                 2.6881,                0.61358,                0.79197,                0.79948,                0.84084,                0.77356,                 2.5438,                0.62709,               0.009637,               0.009637,               0.009637
                     14,                 2.6831,                0.61026,                0.81024,                0.79119,                0.84316,                0.77571,                 2.5414,                  0.628,               0.009604,               0.009604,               0.009604
                     15,                 2.6818,                0.60678,                0.82209,                0.79313,                0.84611,                0.77846,                 2.5397,                0.62681,               0.009571,               0.009571,               0.009571
                     16,                 2.6728,                 0.6044,                0.83769,                 0.7868,                 0.8487,                0.78145,                  2.537,                0.62613,               0.009538,               0.009538,               0.009538
                     17,                 2.6683,                 0.6018,                0.84626,                0.78915,                0.85251,                0.78518,                 2.5343,                0.62456,               0.009505,               0.009505,               0.009505
                     18,                 2.6654,                0.60257,                0.85535,                0.79231,                0.85713,                0.78973,                 2.5326,                0.62297,               0.009472,               0.009472,               0.009472
                     19,                 2.6613,                0.59812,                0.84986,                0.79432,                0.85856,                  0.792,                 2.5291,                0.61942,               0.009439,               0.009439,               0.009439
                     20,                  2.652,                0.59434,                0.85096,                0.79469,                0.86082,                0.79501,                  2.529,                0.61865,               0.009406,               0.009406,               0.009406
                     21,                 2.6457,                 0.5912,                0.85558,                0.79672,                0.86256,                0.79819,                 2.5285,                0.61852,               0.009373,               0.009373,               0.009373
                     22,                 2.6417,                0.59074,                0.86838,                0.78901,                 0.8644,                0.80044,                 2.5265,                0.61884,                0.00934,                0.00934,                0.00934
                     23,                   2.64,                0.59056,                0.88305,                0.78627,                0.86795,                0.80413,                 2.5247,                0.61776,               0.009307,               0.009307,               0.009307
                     24,                 2.6359,                0.58495,                0.87499,                0.79344,                 0.8713,                0.80782,                 2.5231,                0.61616,               0.009274,               0.009274,               0.009274
                     25,                  2.632,                0.58502,                0.84794,                0.81114,                0.87523,                0.81164,                 2.5215,                0.61248,               0.009241,               0.009241,               0.009241
                     26,                 2.6267,                0.58254,                0.83887,                0.81715,                0.87663,                0.81267,                 2.5213,                0.61218,               0.009208,               0.009208,               0.009208
                     27,                 2.6213,                0.58169,                0.84535,                0.82011,                0.87749,                0.81399,                 2.5231,                 0.6149,               0.009175,               0.009175,               0.009175
                     28,                 2.6164,                0.58017,                0.86912,                0.80866,                0.87803,                0.81448,                 2.5243,                0.61791,               0.009142,               0.009142,               0.009142
                     29,                 2.6131,                0.57736,                0.87102,                0.81168,                0.88052,                0.81652,                 2.5246,                0.61811,               0.009109,               0.009109,               0.009109
                     30,                 2.6089,                0.57705,                 0.8598,                0.82073,                0.88129,                0.81752,                 2.5277,                0.61756,               0.009076,               0.009076,               0.009076
                     31,                  2.605,                0.57634,                0.86637,                0.81679,                 0.8821,                0.81793,                 2.5295,                0.61536,               0.009043,               0.009043,               0.009043
                     32,                 2.6007,                0.57446,                0.86337,                0.81464,                0.88171,                0.81735,                  2.531,                 0.6154,                0.00901,                0.00901,                0.00901
                     33,                 2.5954,                0.57181,                0.87117,                0.81472,                0.88206,                0.81781,                 2.5319,                0.61454,               0.008977,               0.008977,               0.008977
                     34,                 2.5889,                0.57151,                0.88365,                0.81088,                0.88157,                0.81706,                 2.5346,                0.61594,               0.008944,               0.008944,               0.008944
                     35,                  2.585,                0.56957,                0.88274,                0.81209,                0.88184,                0.81818,                  2.533,                0.61458,               0.008911,               0.008911,               0.008911
                     36,                 2.5826,                0.56728,                0.89302,                0.81329,                0.88134,                0.81815,                 2.5328,                0.61335,               0.008878,               0.008878,               0.008878
                     37,                 2.5758,                0.56617,                0.90066,                0.81201,                0.88101,                0.81753,                 2.5344,                0.61164,               0.008845,               0.008845,               0.008845
                     38,                 2.5723,                0.56632,                0.90164,                0.80969,                0.88137,                0.81875,                 2.5331,                0.60953,               0.008812,               0.008812,               0.008812
                     39,                 2.5685,                0.56416,                0.89652,                0.81197,                0.88346,                0.82052,                 2.5316,                0.60541,               0.008779,               0.008779,               0.008779
                     40,                 2.5659,                0.56363,                0.87918,                0.82485,                 0.8835,                0.82056,                 2.5315,                0.60412,               0.008746,               0.008746,               0.008746
                     41,                 2.5618,                0.56174,                0.87795,                 0.8266,                0.88295,                0.81994,                 2.5331,                0.60506,               0.008713,               0.008713,               0.008713
                     42,                  2.556,                0.56027,                0.87746,                0.82857,                0.88441,                0.82156,                 2.5316,                0.60205,                0.00868,                0.00868,                0.00868
                     43,                 2.5532,                0.56076,                0.87762,                 0.8302,                0.88637,                0.82396,                 2.5312,                0.60036,               0.008647,               0.008647,               0.008647
                     44,                 2.5492,                 0.5577,                0.87929,                0.83176,                0.88509,                0.82265,                 2.5336,                0.60198,               0.008614,               0.008614,               0.008614
                     45,                 2.5426,                0.55649,                0.88091,                0.83064,                0.88416,                0.82261,                 2.5346,                0.60184,               0.008581,               0.008581,               0.008581
                     46,                 2.5392,                0.55552,                 0.8902,                 0.8235,                0.88129,                0.82052,                 2.5364,                0.60436,               0.008548,               0.008548,               0.008548
                     47,                 2.5333,                0.55386,                0.89303,                0.82066,                0.88054,                0.81953,                  2.538,                0.60556,               0.008515,               0.008515,               0.008515
                     48,                 2.5321,                0.55342,                0.89544,                0.81736,                0.87962,                0.81867,                 2.5389,                0.60862,               0.008482,               0.008482,               0.008482
                     49,                 2.5244,                0.55187,                0.89417,                0.81833,                  0.879,                0.81825,                 2.5387,                0.60785,               0.008449,               0.008449,               0.008449
                     50,                 2.5212,                 0.5503,                0.88659,                0.81999,                0.88132,                0.82103,                 2.5379,                0.60414,               0.008416,               0.008416,               0.008416
                     51,                 2.5179,                0.55063,                0.88338,                0.81979,                0.88104,                0.82095,                 2.5387,                 0.6042,               0.008383,               0.008383,               0.008383
                     52,                 2.5132,                0.54868,                0.87198,                 0.8349,                0.88131,                  0.821,                 2.5381,                0.60353,                0.00835,                0.00835,                0.00835
                     53,                 2.5112,                0.54861,                0.87872,                0.82852,                 0.8817,                0.82035,                 2.5376,                0.60178,               0.008317,               0.008317,               0.008317
                     54,                 2.5075,                0.54695,                0.88473,                0.82558,                0.88164,                0.82022,                 2.5395,                0.60387,               0.008284,               0.008284,               0.008284
                     55,                 2.5023,                0.54566,                0.88581,                0.82591,                0.88278,                0.82147,                 2.5397,                0.60302,               0.008251,               0.008251,               0.008251
                     56,                 2.4987,                0.54501,                0.88881,                0.83316,                0.88313,                0.82275,                 2.5405,                0.60513,               0.008218,               0.008218,               0.008218
                     57,                 2.4926,                0.54496,                0.89011,                0.82701,                0.88274,                0.82221,                 2.5403,                0.60592,               0.008185,               0.008185,               0.008185
                     58,                  2.489,                0.54341,                0.88414,                0.82672,                0.88063,                0.82033,                 2.5399,                0.60623,               0.008152,               0.008152,               0.008152
                     59,                 2.4839,                0.54192,                 0.8901,                  0.822,                0.88124,                0.82033,                 2.5416,                0.60672,               0.008119,               0.008119,               0.008119
                     60,                   2.48,                0.53956,                  0.886,                0.82428,                 0.8813,                0.81984,                 2.5419,                0.60847,               0.008086,               0.008086,               0.008086
                     61,                 2.4739,                0.53921,                0.88156,                0.82448,                0.88276,                0.82237,                 2.5418,                 0.6063,               0.008053,               0.008053,               0.008053
                     62,                 2.4701,                0.53604,                 0.8946,                0.81499,                0.88193,                0.82128,                  2.543,                 0.6059,                0.00802,                0.00802,                0.00802
                     63,                 2.4665,                0.53666,                0.88908,                 0.8164,                0.88148,                0.82035,                 2.5444,                0.60332,               0.007987,               0.007987,               0.007987
                     64,                 2.4642,                0.53624,                0.88825,                0.81469,                0.88279,                0.82118,                 2.5444,                0.59888,               0.007954,               0.007954,               0.007954
                     65,                 2.4601,                0.53377,                0.89106,                0.81876,                0.88303,                  0.822,                 2.5443,                0.59655,               0.007921,               0.007921,               0.007921
                     66,                 2.4554,                 0.5344,                0.89248,                0.81337,                0.88427,                0.82277,                 2.5435,                0.59366,               0.007888,               0.007888,               0.007888
                     67,                 2.4503,                0.53376,                0.88294,                0.82552,                0.88583,                0.82513,                 2.5447,                0.59282,               0.007855,               0.007855,               0.007855
                     68,                 2.4489,                0.53169,                0.87225,                0.83214,                0.88471,                0.82391,                 2.5457,                0.59222,               0.007822,               0.007822,               0.007822
                     69,                 2.4415,                0.53016,                0.87098,                0.82904,                0.88302,                0.82191,                 2.5463,                0.59261,               0.007789,               0.007789,               0.007789
                     70,                 2.4366,                0.52916,                0.87625,                0.82834,                0.88253,                 0.8216,                 2.5454,                0.59264,               0.007756,               0.007756,               0.007756
                     71,                 2.4377,                 0.5291,                0.88686,                0.82425,                0.88104,                0.82064,                 2.5476,                0.59585,               0.007723,               0.007723,               0.007723
                     72,                 2.4291,                 0.5275,                0.88557,                0.82653,                 0.8811,                0.82063,                 2.5492,                0.59803,                0.00769,                0.00769,                0.00769
                     73,                 2.4282,                0.52615,                0.87818,                0.83044,                0.87939,                 0.8182,                 2.5526,                0.60148,               0.007657,               0.007657,               0.007657
                     74,                 2.4224,                0.52623,                0.87911,                0.83109,                 0.8785,                0.81778,                  2.555,                0.60297,               0.007624,               0.007624,               0.007624
                     75,                 2.4171,                0.52397,                0.88323,                0.82934,                0.87546,                0.81504,                 2.5563,                0.60462,               0.007591,               0.007591,               0.007591
                     76,                 2.4142,                0.52285,                0.88882,                0.82538,                0.87363,                0.81312,                 2.5593,                0.60691,               0.007558,               0.007558,               0.007558
                     77,                 2.4095,                0.52249,                 0.8864,                0.82119,                 0.8752,                0.81387,                 2.5612,                0.60903,               0.007525,               0.007525,               0.007525
                     78,                 2.4077,                0.52268,                0.87486,                0.83271,                0.87312,                 0.8117,                 2.5641,                   0.61,               0.007492,               0.007492,               0.007492
                     79,                 2.4035,                0.52125,                0.87688,                0.83263,                  0.872,                0.81084,                 2.5649,                0.61185,               0.007459,               0.007459,               0.007459
                     80,                 2.4006,                0.52052,                0.89379,                0.82134,                 0.8739,                 0.8133,                  2.564,                0.60544,               0.007426,               0.007426,               0.007426
                     81,                 2.3945,                0.51836,                0.87665,                0.82869,                0.87551,                0.81556,                 2.5644,                0.60205,               0.007393,               0.007393,               0.007393
                     82,                 2.3905,                0.51771,                0.86949,                0.82886,                 0.8755,                0.81555,                 2.5626,                0.59786,                0.00736,                0.00736,                0.00736
                     83,                 2.3845,                0.51599,                0.87457,                0.82616,                0.87499,                0.81489,                 2.5618,                0.59479,               0.007327,               0.007327,               0.007327
                     84,                 2.3801,                0.51508,                0.87361,                0.82526,                0.87432,                 0.8139,                  2.561,                0.59368,               0.007294,               0.007294,               0.007294
                     85,                 2.3793,                0.51425,                0.88257,                0.82319,                0.87586,                0.81511,                 2.5618,                0.59201,               0.007261,               0.007261,               0.007261
                     86,                 2.3738,                0.51494,                0.88819,                0.81957,                 0.8773,                0.81743,                 2.5642,                0.58982,               0.007228,               0.007228,               0.007228
                     87,                   2.37,                0.51182,                0.87847,                0.82558,                0.87787,                0.81811,                 2.5627,                0.58615,               0.007195,               0.007195,               0.007195
                     88,                 2.3638,                0.51158,                0.87576,                0.83148,                0.87631,                0.81672,                 2.5658,                 0.5864,               0.007162,               0.007162,               0.007162
                     89,                 2.3587,                0.50986,                 0.8843,                0.83129,                 0.8764,                 0.8166,                 2.5687,                 0.5868,               0.007129,               0.007129,               0.007129
