                  epoch,         train/loc_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),      metrics/mAP100(B),   metrics/mAP100-10(B),           val/loc_loss,           val/cls_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1507,                 1.8682,                0.64227,                0.29014,                0.35375,                 0.3237,                 2.9647,                 1.4861,              0.0033324,              0.0033324,              0.0033324
                      2,                 2.9545,                0.86158,                 0.7458,                0.53574,                0.57529,                0.53358,                  2.678,                0.94041,              0.0066438,              0.0066438,              0.0066438
                      3,                 2.8967,                0.76888,                0.85088,                0.57183,                0.65544,                0.60642,                 2.5939,                0.74042,              0.0099331,              0.0099331,              0.0099331
                      4,                 2.8536,                0.72596,                0.68656,                0.70126,                0.72481,                0.66823,                 2.5688,                0.77478,               0.009901,               0.009901,               0.009901
                      5,                 2.8066,                 0.6832,                0.71639,                0.76454,                0.77258,                0.71268,                 2.5194,                0.68386,               0.009901,               0.009901,               0.009901
                      6,                 2.7726,                0.66037,                0.76437,                0.76637,                0.80637,                0.74439,                 2.5008,                 0.6639,               0.009868,               0.009868,               0.009868
                      7,                 2.7529,                0.64421,                0.79626,                0.77048,                  0.824,                0.76104,                 2.4925,                0.64486,               0.009835,               0.009835,               0.009835
                      8,                 2.7423,                0.63072,                0.81478,                0.78193,                0.83628,                0.77292,                 2.4855,                 0.6316,               0.009802,               0.009802,               0.009802
                      9,                 2.7312,                0.62568,                 0.8136,                0.78301,                0.83952,                0.77602,                 2.4838,                0.63063,               0.009769,               0.009769,               0.009769
                     10,                 2.7206,                0.61875,                0.81998,                0.78348,                0.84389,                 0.7807,                 2.4793,                0.62551,               0.009736,               0.009736,               0.009736
                     11,                 2.7143,                0.61537,                0.83168,                0.78273,                 0.8482,                0.78508,                 2.4755,                0.62095,               0.009703,               0.009703,               0.009703
                     12,                 2.7072,                0.61062,                0.82552,                0.78775,                0.85169,                0.78871,                 2.4702,                0.61839,                0.00967,                0.00967,                0.00967
                     13,                 2.7026,                0.60533,                0.82195,                0.79789,                0.85436,                0.79094,                 2.4667,                0.61395,               0.009637,               0.009637,               0.009637
                     14,                  2.696,                0.60271,                0.83129,                0.78967,                0.85746,                0.79512,                 2.4647,                0.61126,               0.009604,               0.009604,               0.009604
                     15,                 2.6903,                0.60156,                 0.8239,                0.80328,                0.85926,                  0.798,                 2.4639,                0.60872,               0.009571,               0.009571,               0.009571
                     16,                 2.6864,                0.59741,                 0.8256,                0.81018,                0.86147,                0.80073,                 2.4623,                0.60545,               0.009538,               0.009538,               0.009538
                     17,                 2.6833,                0.59597,                0.82603,                0.80971,                0.86458,                  0.804,                 2.4603,                0.60209,               0.009505,               0.009505,               0.009505
                     18,                 2.6772,                0.59204,                0.82147,                0.81689,                0.86661,                 0.8061,                 2.4596,                0.60118,               0.009472,               0.009472,               0.009472
                     19,                 2.6714,                 0.5886,                 0.8186,                0.82913,                0.86762,                0.80728,                 2.4591,                0.59992,               0.009439,               0.009439,               0.009439
                     20,                 2.6688,                0.58938,                0.81847,                0.83527,                0.87007,                0.80968,                 2.4577,                0.59779,               0.009406,               0.009406,               0.009406
                     21,                  2.663,                0.58557,                0.81732,                0.83775,                0.87095,                0.81117,                 2.4579,                0.59811,               0.009373,               0.009373,               0.009373
