                  epoch,         train/loc_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),      metrics/mAP100(B),   metrics/mAP100-10(B),           val/loc_loss,           val/cls_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6369,                 1.6703,                0.48847,                0.39594,                 0.4463,                0.40643,                0.90298,                 1.3205,              0.0033323,              0.0033323,              0.0033323
                      2,                0.82071,                0.79079,                0.79012,                0.54374,                0.61431,                0.56709,                0.78841,                0.90502,              0.0066437,              0.0066437,              0.0066437
                      3,                0.78715,                0.70451,                0.87369,                0.57335,                0.65575,                0.60781,                0.75722,                 0.9704,               0.009933,               0.009933,               0.009933
                      4,                0.76519,                0.65947,                0.87158,                0.62925,                 0.6902,                0.63825,                0.75142,                0.82181,               0.009901,               0.009901,               0.009901
                      5,                0.73958,                0.61459,                0.87648,                0.66372,                 0.7458,                0.69193,                0.69976,                0.62272,               0.009901,               0.009901,               0.009901
                      6,                0.72463,                0.58733,                0.72042,                0.78431,                 0.7909,                0.73207,                0.70052,                0.59199,               0.009868,               0.009868,               0.009868
                      7,                0.71553,                0.56836,                0.74615,                0.78101,                0.80366,                0.74494,                0.69045,                0.57289,               0.009835,               0.009835,               0.009835
                      8,                 0.7044,                0.55481,                0.78549,                0.79298,                  0.826,                 0.7645,                0.67999,                0.55967,               0.009802,               0.009802,               0.009802
                      9,                0.69919,                0.54611,                0.82457,                0.78397,                 0.8355,                0.77318,                 0.6769,                0.54814,               0.009769,               0.009769,               0.009769
                     10,                0.69408,                0.53802,                0.84234,                0.77892,                0.83832,                 0.7756,                0.67153,                0.54941,               0.009736,               0.009736,               0.009736
                     11,                0.69069,                 0.5341,                0.86048,                0.76875,                 0.8396,                0.77715,                0.66963,                0.54903,               0.009703,               0.009703,               0.009703
                     12,                0.68413,                0.52833,                0.81779,                0.79809,                0.84239,                0.77919,                0.66824,                0.54761,                0.00967,                0.00967,                0.00967
                     13,                 0.6808,                0.52163,                0.82621,                0.79818,                0.84505,                0.78187,                0.66679,                0.54427,               0.009637,               0.009637,               0.009637
                     14,                0.67691,                0.51754,                0.83679,                0.80079,                0.84961,                0.78629,                0.66469,                0.53938,               0.009604,               0.009604,               0.009604
                     15,                0.67546,                0.51469,                0.84787,                0.79667,                0.85445,                0.79025,                0.66381,                0.53869,               0.009571,               0.009571,               0.009571
                     16,                0.67185,                0.51001,                0.84557,                0.80092,                0.85719,                0.79334,                0.66274,                0.53702,               0.009538,               0.009538,               0.009538
                     17,                0.67007,                0.50781,                0.84339,                0.80645,                 0.8598,                0.79626,                0.66067,                0.53523,               0.009505,               0.009505,               0.009505
                     18,                0.66768,                0.50687,                0.85129,                0.80502,                0.86326,                0.79984,                0.65925,                 0.5311,               0.009472,               0.009472,               0.009472
                     19,                0.66577,                0.50322,                0.85632,                0.80828,                0.86482,                0.80138,                0.65788,                 0.5288,               0.009439,               0.009439,               0.009439
