                  epoch,         train/loc_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),      metrics/mAP100(B),   metrics/mAP100-10(B),           val/loc_loss,           val/cls_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5875,                 1.6423,                0.73253,                0.37914,                0.44354,                 0.4079,                 0.8037,                 1.0836,              0.0033324,              0.0033324,              0.0033324
                      2,                0.80706,                0.76248,                0.79911,                0.54877,                0.61896,                0.57253,                0.76436,                0.78859,              0.0066438,              0.0066438,              0.0066438
                      3,                0.77868,                0.68557,                 0.6513,                0.65602,                0.68622,                0.63457,                0.69751,                0.63304,              0.0099331,              0.0099331,              0.0099331
                      4,                0.75843,                0.64242,                0.69785,                0.72033,                0.74049,                0.68585,                 0.6984,                0.62241,               0.009901,               0.009901,               0.009901
                      5,                0.73627,                0.59751,                0.74633,                0.76739,                0.78765,                0.73049,                0.65849,                0.55506,               0.009901,               0.009901,               0.009901
                      6,                0.72156,                 0.5721,                0.77748,                0.78892,                0.82131,                0.76412,                0.66107,                0.54496,               0.009868,               0.009868,               0.009868
                      7,                0.71183,                0.55726,                0.81214,                0.80401,                 0.8291,                0.77091,                0.66396,                0.56342,               0.009835,               0.009835,               0.009835
                      8,                0.70441,                0.54243,                0.82388,                0.79854,                0.83504,                 0.7769,                0.66108,                0.56299,               0.009802,               0.009802,               0.009802
                      9,                0.69913,                0.53508,                0.85768,                0.78022,                0.83829,                0.78059,                0.65692,                0.56199,               0.009769,               0.009769,               0.009769
                     10,                0.69318,                0.52732,                0.85374,                0.78924,                0.83953,                0.78262,                0.65544,                0.56628,               0.009736,               0.009736,               0.009736
                     11,                0.69096,                0.52135,                0.85938,                0.78374,                0.84214,                  0.785,                 0.6541,                0.56282,               0.009703,               0.009703,               0.009703
                     12,                  0.687,                0.51848,                0.85501,                0.79351,                0.84238,                0.78477,                0.65353,                0.56054,                0.00967,                0.00967,                0.00967
                     13,                0.68442,                0.51272,                0.85648,                0.79321,                0.84179,                0.78489,                0.65228,                 0.5614,               0.009637,               0.009637,               0.009637
                     14,                0.68098,                0.50965,                0.85258,                0.79835,                0.84305,                0.78619,                0.64968,                0.55992,               0.009604,               0.009604,               0.009604
                     15,                0.67803,                0.50601,                0.85377,                0.80051,                0.84442,                0.78717,                 0.6462,                0.55588,               0.009571,               0.009571,               0.009571
                     16,                0.67537,                0.50309,                0.85998,                0.80408,                0.84611,                0.78838,                0.64393,                0.55578,               0.009538,               0.009538,               0.009538
                     17,                 0.6739,                0.50119,                0.86168,                0.81086,                0.84914,                0.79154,                0.64092,                0.55182,               0.009505,               0.009505,               0.009505
                     18,                0.67142,                0.49854,                0.87393,                0.80259,                0.84981,                0.79217,                0.63944,                0.55244,               0.009472,               0.009472,               0.009472
                     19,                0.66737,                0.49432,                 0.8695,                0.81586,                0.85003,                 0.7932,                 0.6388,                0.54972,               0.009439,               0.009439,               0.009439
                     20,                0.66733,                0.49535,                0.86399,                0.81951,                0.85237,                0.79605,                0.63933,                0.54576,               0.009406,               0.009406,               0.009406
                     21,                 0.6647,                0.49139,                0.87025,                 0.8192,                0.85274,                0.79573,                0.64135,                0.54618,               0.009373,               0.009373,               0.009373
                     22,                0.66494,                0.49134,                0.87025,                0.81406,                0.85338,                 0.7963,                0.64225,                0.54213,                0.00934,                0.00934,                0.00934
                     23,                0.66096,                0.48863,                0.86841,                0.81477,                0.85688,                 0.7989,                0.64083,                0.53507,               0.009307,               0.009307,               0.009307
                     24,                0.66069,                 0.4874,                 0.8752,                0.81147,                0.85796,                0.79965,                 0.6401,                  0.531,               0.009274,               0.009274,               0.009274
                     25,                0.65806,                0.48532,                0.85788,                 0.8245,                0.85886,                0.80055,                 0.6396,                 0.5309,               0.009241,               0.009241,               0.009241
                     26,                0.65652,                0.48496,                0.85714,                0.83015,                0.85948,                 0.8012,                0.63742,                0.52184,               0.009208,               0.009208,               0.009208
                     27,                0.65521,                0.48155,                0.87462,                0.82029,                0.86089,                0.80245,                0.63724,                0.51948,               0.009175,               0.009175,               0.009175
                     28,                  0.654,                0.48291,                0.87263,                0.82476,                0.86258,                0.80436,                0.63877,                0.51975,               0.009142,               0.009142,               0.009142
                     29,                0.65388,                0.47962,                0.87572,                0.82128,                0.86379,                0.80571,                0.63972,                0.51945,               0.009109,               0.009109,               0.009109
                     30,                0.65096,                0.47711,                 0.8761,                0.82446,                0.86696,                0.80853,                 0.6367,                0.51575,               0.009076,               0.009076,               0.009076
                     31,                0.64832,                0.47753,                 0.8623,                0.83151,                0.86895,                0.81005,                0.63613,                0.51578,               0.009043,               0.009043,               0.009043
                     32,                0.64723,                0.47512,                0.87032,                0.82513,                0.87072,                0.81228,                0.63415,                0.51669,                0.00901,                0.00901,                0.00901
